CaseUID,Province,Harvest,date_harvested,year_harvested,time,easting,northing,Species,Sex,CWD_Status,e_min,e_aver,Dtown,Driver,Dstreams,Droad,rugg3,rugg6,rugg12,Road3km,Stream3km,Pcover3,Pagri3,Pgrass3,Popen3,Road6km,Stream6km,Pcover6,Pagri6,Pgrass6,Popen6,Road12km,Stream12km,Pcover12,Pagri12,Pgrass12,Popen12,m_aver,m_min,w_aver,w_min
15,Alberta,Hunter,"Thursday, November 02, 2006",2006,5,540000,5850000,mule deer,female,positive,37.01986928,74.55392831,1.5,1.92094,1860.109985,800,4.89188,9.423939,13.460499,3846.44947,0,0.205520552,0.747074707,0.036970243,0.784278428,6959.107396,0,0.162944086,0.756408335,0.068376068,0.824763903,12172.16312,555.365126,0.124437444,0.686243624,0.127145963,0.813606361,1.184498868,1.017224292,3.046524125,2.480969176
16,Alberta,Hunter,"Friday, November 17, 2006",2006,5,550000,5830000,mule deer,female,positive,20.2648368,66.42749546,10.0185,10.4623,721.109985,0,11.5593,14.133399,17.666799,4159.083724,403.682978,0.088376273,0.778010785,0.107978404,0.885560216,5785.806328,2446.862255,0.106596702,0.789955022,0.061732095,0.851724138,9687.511726,5483.610962,0.10892054,0.779235382,0.042510121,0.821589205,1.213820698,0.92807737,2.253011486,1.388257362
17,Alberta,Hunter,"Monday, November 13, 2006",2006,5,560000,5840000,mule deer,male,positive,8.377143769,54.90774979,4,10.3947,1081.670043,100,7.643539,10.246,10.9813,2907.865894,0,0.094509451,0.697269727,0.066266867,0.763876388,6104.271054,812.844892,0.101844908,0.580770961,0.095738295,0.676316184,15283.12673,812.844892,0.150097466,0.547158495,0.140071986,0.687059529,0.819835087,0.552870353,1.800888099,0.997781674
21,Alberta,Sharpshooter,"Friday, March 16, 2007",2007,5.33,530000,5850000,mule deer,female,positive,3.570626976,67.42830009,5.044799,0.565684,565.684997,141.421005,7.731599,7.35648,6.54926,3037.938962,3863.9992,0.159976034,0.28040743,0.383923215,0.670461354,4648.597073,5411.317114,0.095652174,0.337781109,0.435428229,0.774962519,11929.64014,7086.728481,0.100667116,0.409639457,0.406104695,0.816805337,1.227689118,0.529493943,3.061355639,0.727072852
22,Alberta,Sharpshooter,"Friday, March 16, 2007",2007,5.33,530000,5850000,mule deer,female,positive,3.570626976,67.42830009,5.044799,0.565684,565.684997,141.421005,7.731599,7.35648,6.54926,3037.938962,3863.9992,0.159976034,0.28040743,0.383923215,0.670461354,4648.597073,5411.317114,0.095652174,0.337781109,0.435428229,0.774962519,11929.64014,7086.728481,0.100667116,0.409639457,0.406104695,0.816805337,1.227689118,0.529493943,3.061355639,0.727072852
23,Alberta,Sharpshooter,"Thursday, March 15, 2007",2007,5.33,540000,5840000,mule deer,female,positive,7.401279416,61.84623965,4.42041,1.9799,1431.780029,400,1.35668,2.846829,4.925839,3258.2929,0,0.036570743,0,0.963429257,0.963429257,6374.056247,0,0.024430456,0.011690647,0.95349535,0.965827338,13515.33171,1089.325879,0.058241511,0.021812458,0.88928036,0.912900082,1.046121725,0.586524564,2.717008777,1.351673596
24,Alberta,Sharpshooter,"Sunday, March 18, 2007",2007,5.33,530000,5850000,mule deer,female,positive,2.910664014,66.50367663,4.40454,1.48661,1476.47998,600,2.67754,3.83836,7.39447,2133.768494,0,0.06062425,0.078031212,0.86001199,0.93937575,4778.53853,0,0.096551724,0.202098951,0.664217157,0.866116942,10601.99774,5136.106293,0.090806839,0.417966407,0.414542729,0.833383323,1.138722235,0.392034293,3.022644444,0.436498151
25,Alberta,Sharpshooter,"Sunday, March 18, 2007",2007,5.33,530000,5850000,mule deer,female,positive,3.159452642,66.96438449,4.596739,0.98995,921.953979,100,5.535449,6.402019,6.860779,2471.557944,626.470581,0.134834835,0.100900901,0.659274798,0.765165165,4726.228235,4807.397314,0.104631989,0.220806476,0.572543136,0.795682806,10803.28726,6393.056517,0.087650896,0.390792532,0.43085226,0.822298868,1.138722235,0.392034293,3.186135569,0.734240414
26,Alberta,Sharpshooter,"Sunday, March 18, 2007",2007,5.33,530000,5850000,mule deer,female,positive,2.360617716,66.55402362,3.82884,0.781024,565.684997,400,5.098959,7.853409,10.426199,1742.409481,1822.906394,0.156521739,0.229085457,0.485285285,0.71994003,3484.942373,3838.673032,0.135852452,0.326735643,0.44047976,0.769380717,7791.909803,6447.652705,0.133448353,0.403195559,0.388047391,0.792438677,1.211453615,0.44476216,2.939882386,0.449473735
27,Alberta,Sharpshooter,"Sunday, March 18, 2007",2007,5.33,530000,5850000,white-tailed deer,male,positive,5.057618115,68.13145895,6.576469,1.204159,1140.180053,300,2.986419,4.58674,6.42909,7319.503903,0,0.040840841,0.453753754,0.490254873,0.942942943,13131.99232,1818.317834,0.077234553,0.445410918,0.418391839,0.866676665,21622.39775,6148.938249,0.07505436,0.465696933,0.396326837,0.862262878,1.214047012,0.562334361,3.589714281,1.31835492
