"","BASIN","PROG_CODE","SITE_NAME","COL_DATE","COL_TIME","Lat","Long","huc08","dt","year","Total_N"
"1","SMOKY-SALINE RIVER BASIN","SC","SC007","1/26/15",1306,38.77674,-98.854719,10260006,4106.17644675926,2015,2.85
"2","SMOKY-SALINE RIVER BASIN","SC","SC007","4/6/15",1248,38.77674,-98.854719,10260006,4176.16394675926,2015,1.775
"3","SMOKY-SALINE RIVER BASIN","SC","SC007","7/6/15",1310,38.77674,-98.854719,10260006,4267.17922453704,2015,1.735
"4","SMOKY-SALINE RIVER BASIN","SC","SC007","10/5/15",1353,38.77674,-98.854719,10260006,4358.20908564815,2015,0.805
"5","SMOKY-SALINE RIVER BASIN","SC","SC011","1/28/15",1004,38.970648,-98.815197,10260009,4108.05005787037,2015,0.455
"6","SMOKY-SALINE RIVER BASIN","SC","SC011","4/8/15",939,38.970648,-98.815197,10260009,4178.03269675926,2015,0.895
"7","SMOKY-SALINE RIVER BASIN","SC","SC011","7/8/15",1011,38.970648,-98.815197,10260009,4269.05491898148,2015,1.045
"8","SMOKY-SALINE RIVER BASIN","SC","SC011","7/8/15",1016,38.970648,-98.815197,10260009,4269.0583912037,2015,0.925
"9","SMOKY-SALINE RIVER BASIN","SC","SC011","10/7/15",953,38.970648,-98.815197,10260009,4360.04241898148,2015,1.005
"10","SMOKY-SALINE RIVER BASIN","SC","SC011","10/7/15",958,38.970648,-98.815197,10260009,4360.0458912037,2015,1.035
"11","SOLOMON RIVER BASIN","SC","SC014","1/27/15",1132,39.55428,-98.69211,10260012,4107.11116898148,2015,1.935
"12","SOLOMON RIVER BASIN","SC","SC014","4/7/15",1133,39.55428,-98.69211,10260012,4177.11186342593,2015,1.885
"13","SOLOMON RIVER BASIN","SC","SC014","7/7/15",1236,39.55428,-98.69211,10260012,4268.15561342593,2015,1.801
"14","SOLOMON RIVER BASIN","SC","SC014","10/6/15",1033,39.55428,-98.69211,10260012,4359.07019675926,2015,2.035
"15","LOWER ARKANSAS RIVER BASIN","SC","SC030","2/9/15",1227,38.229227,-98.41761,11030009,4120.14936342593,2015,0.995
"16","LOWER ARKANSAS RIVER BASIN","SC","SC030","5/4/15",1247,38.229227,-98.41761,11030009,4204.16325231481,2015,2.275
"17","LOWER ARKANSAS RIVER BASIN","SC","SC030","8/10/15",1245,38.229227,-98.41761,11030009,4302.16186342593,2015,1.095
"18","LOWER ARKANSAS RIVER BASIN","SC","SC030","11/2/15",1318,38.229227,-98.41761,11030009,4386.18478009259,2015,0.685
"19","LOWER ARKANSAS RIVER BASIN","SC","SC036","2/9/15",1510,37.56174,-97.853599,11030015,4120.26255787037,2015,2.935
"20","LOWER ARKANSAS RIVER BASIN","SC","SC036","5/4/15",1612,37.56174,-97.853599,11030015,4204.30561342593,2015,2.085
"21","LOWER ARKANSAS RIVER BASIN","SC","SC036","8/10/15",1541,37.56174,-97.853599,11030015,4302.28408564815,2015,2.085
