"","BASIN","PROG_CODE","SITE_NAME","SITE_LOCT","COL_DATE","COL_TIME","Lat","Long","huc08","dt","year","Total_N","AMMONIA","CHLORIDE","DISOXY","NITRATE","NITRITE","PHFIELD","SPEC_COND","TDS","PHOSPHU","TSS","KJELDAHL","ATRAZIN","CHLOROPH","FECCOLI"
"1","SMOKY-SALINE RIVER BASIN","SC","SC007","","12/1/03",1259,38.77674,-98.854719,10260006,32.1715856481481,2003,0.368,0.1,797.52,12.2,0.1,0.05,8.3,3248,2027.231,0.262,10,0.293,NA,NA,NA
"2","SMOKY-SALINE RIVER BASIN","SC","SC007","","2/23/04",1312,38.77674,-98.854719,10260006,116.180613425926,2004,1.961,0.1,432.73,17,1.04,0.21,8.2,1984,1287.992,0.33,12,0.711,0.3,NA,NA
"3","SMOKY-SALINE RIVER BASIN","SC","SC007","","4/26/04",1328,38.77674,-98.854719,10260006,179.191724537037,2004,1.308,0.202,668.34,9.9,0.1,0.05,8.1,2751,1804.558,0.327,39,1.233,NA,NA,NA
"4","SMOKY-SALINE RIVER BASIN","SC","SC007","","6/28/04",1353,38.77674,-98.854719,10260006,242.209085648148,2004,0.975,0.1,515.39,8.7,0.1,0.05,8.4,2184,1381.319,0.276,34,0.9,1.2,NA,NA
"5","SMOKY-SALINE RIVER BASIN","SC","SC007","","8/23/04",1325,38.77674,-98.854719,10260006,298.189641203704,2004,1.049,0.1,511.72,8.6,0.1,0.05,8.4,2472,1478.744,0.212,78,0.974,NA,NA,NA
"6","SMOKY-SALINE RIVER BASIN","SC","SC007","","10/25/04",1305,38.77674,-98.854719,10260006,361.175752314815,2004,0.688,0.1,749.43,10.2,0.1,0.05,8,3183,1910.023,0.093,26,0.613,0.3,NA,NA
"7","SMOKY-SALINE RIVER BASIN","SC","SC007","","12/20/04",1321,38.77674,-98.854719,10260006,417.186863425926,2004,1.07,0.1,658.58,17.6,0.29,0.05,8.5,2830,1731.892,0.353,14,0.755,NA,NA,NA
"8","SMOKY-SALINE RIVER BASIN","SC","SC007","","1/24/05",1304,38.77674,-98.854719,10260006,452.17505787037,2005,2.054,0.1,288.84,14.5,1.11,0.09,8.2,1792,1056.102,0.8,25,0.854,0.3,NA,NA
"9","SMOKY-SALINE RIVER BASIN","SC","SC007","","3/28/05",1341,38.77674,-98.854719,10260006,515.200752314815,2005,1.413,0.1,188.66,9.6,0.27,0.05,8.3,1309,789.888,0.325,88,1.118,NA,NA,NA
"10","SMOKY-SALINE RIVER BASIN","SC","SC007","","5/23/05",1316,38.77674,-98.854719,10260006,571.183391203704,2005,0.713,0.1,840.64,8.7,0.1,0.05,8,3433,2219.445,0.144,46,0.638,0.3,NA,NA
"11","SMOKY-SALINE RIVER BASIN","SC","SC007","","7/25/05",1201,38.77674,-98.854719,10260006,634.13130787037,2005,1.013,0.1,1392.38,9.7,0.1,0.05,7.8,5268,3099.831,0.147,32,0.938,NA,NA,NA
"12","SMOKY-SALINE RIVER BASIN","SC","SC007","","9/26/05",1254,38.77674,-98.854719,10260006,697.168113425926,2005,0.458,0.1,1042.08,9.9,0.1,0.05,7.8,4608,2525,0.076,25,0.383,0.3,NA,NA
"13","SMOKY-SALINE RIVER BASIN","SC","SC007","","2/20/06",1253,38.77674,-98.854719,10260006,844.167418981481,2006,1.95,0.1,1134.26,16.5,0.1,0.05,8.4,4447,2626.487,0.591,44,1.875,0.3,NA,NA
"14","SMOKY-SALINE RIVER BASIN","SC","SC007","","4/24/06",1356,38.77674,-98.854719,10260006,907.211168981481,2006,1.411,0.1,1180.91,8,0.1,0.05,7.8,4228,2650.254,0.305,58,1.336,NA,NA,NA
"15","SMOKY-SALINE RIVER BASIN","SC","SC007","","6/26/06",1532,38.77674,-98.854719,10260006,970.277835648148,2006,1.665,0.1,861.53,8.4,0.1,0.05,8.3,3281,2046.743,0.275,82,1.59,1.5,NA,NA
"16","SMOKY-SALINE RIVER BASIN","SC","SC007","","8/28/06",1335,38.77674,-98.854719,10260006,1033.19658564815,2006,1.201,0.1,108.65,7.2,0.1,0.05,7.8,889.2,580.488,0.303,92,1.126,NA,NA,NA
