Scat,Site,Season,Year,Pack,Lat,Long,Bird,Carnivore,Domestic_cattle,Insect,Leporid,Other,Plant_matter,Reptile,Seeds_berries,Sciurid,Small_mammal,Trash,Ungulate,Ungulate_spp,Ungulate_age
4,MV,Winter,2018,Out,48.59491,-120.094,0,0,0,0,0,0,8,0,0,0,0,0,92,Deer,A
26,MV,Winter,2018,Out,48.58298,-120.375,0,88,0,0,0,0,12,0,0,0,0,0,0,NONE,NONE
27,MV,Winter,2018,Out,48.58829,-120.371,0,6,0,0,79,0,15,0,0,0,0,0,0,NONE,NONE
28,MV,Winter,2018,Out,48.58924,-120.371,0,8,0,0,0,0,91,0,1,0,0,0,0,NONE,NONE
29,MV,Winter,2018,Out,48.58868,-120.375,0,0,0,0,0,0,15,3,0,0,2,0,80,Deer,A
31,MV,Winter,2018,In,48.25538,-120.185,0,0,0,0,0,0,42,0,0,0,18,0,40,Deer,A
32,MV,Winter,2018,In,48.25386,-120.168,0,0,0,0,0,0,3,0,0,0,97,0,0,NONE,NONE
35,MV,Winter,2018,In,48.25666,-120.18,0,0,0,0,0,0,12,0,0,0,83,0,5,Deer,A
36,MV,Winter,2018,In,48.25575,-120.183,0,0,0,0,0,0,36,0,0,0,54,0,10,Deer,A
37,MV,Winter,2018,In,48.25506,-120.186,0,0,0,0,0,0,52,0,0,0,43,0,5,Deer,A
40,MV,Winter,2018,In,48.25497,-120.189,0,0,0,0,0,0,75,0,15,0,0,0,10,Deer,A
41,MV,Winter,2018,In,48.25498,-120.189,1,0,0,0,5,0,1,0,0,0,0,0,93,Deer,A
48,MV,Winter,2018,In,48.17955,-120.096,0,0,0,0,0,0,1,0,0,0,87,0,12,Deer,A
49,MV,Winter,2018,Out,48.58736,-120.376,0,23,0,0,0,0,65,0,9,0,3,0,0,NONE,NONE
50,MV,Winter,2018,Out,48.58793,-120.378,0,0,0,0,0,0,0,0,2,0,58,0,40,Deer,A
51,MV,Winter,2018,Out,48.43454,-120.009,0,0,0,0,0,0,12,0,0,0,0,0,88,Deer,A
54,MV,Winter,2018,In,48.25712,-120.176,0,0,0,0,0,0,40,0,0,0,0,0,60,Deer,A
55,MV,Winter,2018,In,48.2571,-120.176,0,0,0,0,0,0,27,0,0,0,18,0,55,Deer,A
56,MV,Winter,2018,In,48.25692,-120.178,0,0,0,0,0,0,10,0,0,0,60,0,30,Deer,A
57,MV,Winter,2018,In,48.2566,-120.18,0,0,0,0,72,0,12,0,0,0,16,0,0,NONE,NONE
59,MV,Winter,2018,In,48.24725,-120.195,0,0,0,0,0,0,0,0,0,0,0,0,100,Deer,A
60,MV,Winter,2018,In,48.24715,-120.195,0,0,0,0,0,0,0,0,0,0,80,0,20,Deer,A
70,MV,Winter,2018,Out,48.39942,-120.314,0,0,0,0,0,0,4,0,0,0,0,0,96,Moose,A
71,MV,Winter,2018,In,48.25509,-120.188,0,0,0,0,95,0,5,0,0,0,0,0,0,NONE,NONE
72,MV,Winter,2018,In,48.25741,-120.197,0,0,0,0,94,0,6,0,0,0,0,0,0,NONE,NONE
76,MV,Winter,2018,Out,48.59345,-120.372,0,2,0,0,0,0,1,0,83,0,11,0,3,Deer,A
78,MV,Winter,2018,Out,48.35473,-120.39,0,0,0,0,99,0,1,0,0,0,0,0,0,NONE,NONE
80,MV,Winter,2018,Out,48.4488,-120.142,0,0,0,0,0,0,3,0,0,0,25,0,72,Deer,A
515,MV,Winter,2019,Out,48.43103,-119.931,0,0,0,0,0,0,30,0,0,0,0,0,70,Deer,A
540,MV,Winter,2019,Out,48.43004,-119.927,0,0,0,0,0,0,88,0,0,0,0,0,12,Deer,A
556,MV,Winter,2019,Out,48.49482,-120.155,3,0,0,0,0,0,0,0,6,0,38,0,53,Deer,A
557,MV,Winter,2019,Out,48.62968,-120.14095,60,0,0,0,0,0,40,0,0,0,0,0,0,NONE,NONE
558,MV,Winter,2019,In,48.50172,-120.147,0,0,0,0,0,0,0,0,18,0,82,0,0,NONE,NONE
561,MV,Winter,2019,Out,48.4312,-119.933,0,0,0,0,0,0,95,0,0,0,0,0,5,Deer,A
564,MV,Winter,2019,Out,48.49199,-120.196,45,0,0,0,0,0,0,0,55,0,0,0,0,NONE,NONE
568,MV,Winter,2019,Out,48.43103,-119.931,0,0,0,0,0,0,55,0,45,0,0,0,0,NONE,NONE
569,MV,Winter,2019,Out,48.53202,-120.136,0,0,0,1,0,0,1,0,0,0,5,0,93,Moose,A
570,MV,Winter,2019,Out,48.43365,-119.953,0,0,0,0,0,0,80,0,0,0,0,0,20,Deer,A
576,MV,Winter,2019,Out,48.58894,-120.163,0,0,0,0,0,0,25,0,0,0,0,0,75,Deer,A
578,MV,Winter,2019,Out,48.61629,-119.965,0,0,0,0,6,0,1,0,0,0,0,0,93,Deer,A
586,MV,Winter,2019,Out,48.61598,-119.96,0,0,0,0,0,0,0,0,0,0,35,0,65,Moose,A
587,MV,Winter,2019,Out,48.63333,-119.979,0,0,0,0,88,0,0,0,0,0,0,0,12,Deer,A
588,MV,Winter,2019,Out,48.61748,-119.994,0,0,0,0,92,0,0,0,0,0,0,0,8,Deer,A
589,MV,Winter,2019,Out,48.58864,-120.163,0,0,0,0,0,0,39,0,0,0,49,0,12,Deer,A
590,MV,Winter,2019,Out,48.61797,-119.971,0,0,0,0,18,0,0,0,0,0,0,0,82,Moose,A
591,MV,Winter,2019,Out,48.56718,-120.174,0,0,0,0,0,0,7,0,10,0,0,0,83,Deer,A
592,MV,Winter,2019,Out,48.5214,-120.212,0,0,0,0,0,0,0,0,0,0,0,0,100,Deer,A
593,MV,Winter,2019,Out,48.52237,-120.213,0,0,0,0,0,0,15,0,0,0,0,0,85,Deer,A
595,MV,Winter,2019,Out,48.57868,-120.165,0,0,0,0,0,0,76,0,12,0,8,0,4,Deer,A
598,MV,Winter,2019,Out,48.50904,-120.21,0,0,0,0,0,0,1,0,0,0,20,0,79,Deer,A
599,MV,Winter,2019,Out,48.56535,-120.176,0,0,78,1,0,0,7,0,0,0,0,0,14,Deer,A
700,MV,Winter,2019,Out,48.50739,-120.209,0,0,0,0,2,0,0,0,97,0,0,0,1,Deer,A
701,MV,Winter,2019,Out,48.62431,-120.253,0,0,5,0,0,0,20,0,75,0,0,0,0,NONE,NONE
