"","infected","total_population","infected_proportion","size_category","liner","ship","voyage_duration","start_date","end_date","start_year","end_year","start_month","end_month","start_season","end_season","Start_dest","End_dest","Start_lat","Start_long"
"1",172,4169,0.0412568961381626,"5","Princess Cruises","Crown Princess",29,2014-10-18,2014-11-16,2014,2014,10,11,"3","4","Los Angeles","California",33.7405,-118.2786
"2",152,4337,0.0350472676965644,"5","Princess Cruises","Crown Princess",7,2014-04-05,2014-04-12,2014,2014,4,4,"1","1","Los Angeles","California",33.7405,-118.2786
"3",105,2928,0.0358606557377049,"4","Royal Caribbean Cruise Line","Grandeur of the Seas",7,2014-04-05,2014-04-12,2014,2014,4,4,"1","1","Baltimore","Bahamas",39.2876,-76.6108
"4",117,2912,0.0401785714285714,"4","Royal Caribbean Cruise Line","Grandeur of the Seas",8,2014-03-28,2014-04-05,2014,2014,3,4,"1","1","Baltimore","Bahamas",39.2876,-76.6108
"5",73,1665,0.0438438438438438,"3","Holland America Line","ms Maasdam",26,2014-03-02,2014-03-28,2014,2014,3,3,"1","1","Rio de Janeiro","Fort Lauderdale",-22.8955,-43.1822
"6",124,1848,0.0670995670995671,"3","Holland America Line","ms Veendam",14,2014-02-08,2014-02-22,2014,2014,2,2,"1","1","San Diego","Fort Lauderdale",32.7157,-117.1611
"7",192,4250,0.0451764705882353,"5","Princess Cruises","Caribbean Princess",7,2014-01-25,2014-02-01,2014,2014,1,2,"1","1","Houston TX","Caribbean",29.7499,-95.3594
"8",689,4237,0.162615057823932,"5","Royal Caribbean Cruise Line","Explorer of the Seas",10,2014-01-21,2014-01-31,2014,2014,1,1,"1","1","NYC (Cape Liberty/Bayonne NJ)","Caribbean",40.6687,-74.1118
"9",142,3357,0.042299672326482,"4","Norwegian Cruise Line","Norwegian Star",14,2014-01-05,2014-01-19,2014,2014,1,1,"1","1","LA","Mexican Riviera",33.7405,-118.2786
"10",84,2017,0.0416460089241448,"3","Holland America Line","Veendam",7,2015-12-20,2015-12-27,2015,2015,12,12,"4","4","San Diego","San Diego",32.7157,-117.1611
"11",176,4393,0.0400637377646255,"5","Princess Cruises","Caribbean Princess",7,2015-12-13,2015-12-20,2015,2015,12,12,"4","4","Houston Texas","Houston Texas",29.7499,-95.3594
