Location of harvest,Date of harvest,Sex,Age class,Body mass in kg,Amount of cropland in hectares ,Post-harvest abundance estimates
desoto,2003 10 18,Male,0.5,25.4,681,1214
desoto,2003 10 18,Male,0.5,24.9,681,1214
desoto,2003 10 18,Female,0.5,25.4,681,1214
desoto,2003 10 18,Female,0.5,32.2,681,1214
desoto,2003 10 18,Male,0.5,21.3,681,1214
desoto,2003 10 18,Male,0.5,25.4,681,1214
desoto,2003 10 18,Male,0.5,19.1,681,1214
desoto,2003 10 18,Male,0.5,31.8,681,1214
desoto,2003 10 18,Female,0.5,30.4,681,1214
desoto,2003 10 18,Male,0.5,25.4,681,1214
desoto,2003 10 18,Female,0.5,22.7,681,1214
desoto,2003 10 18,Male,0.5,30.4,681,1214
desoto,2003 10 18,Male,0.5,21.8,681,1214
desoto,2003 10 18,Female,0.5,26.8,681,1214
desoto,2003 10 18,Male,0.5,31.3,681,1214
desoto,2003 10 18,Male,0.5,31.3,681,1214
desoto,2003 10 18,Male,0.5,26.8,681,1214
desoto,2003 10 18,Female,0.5,28.1,681,1214
desoto,2003 10 18,Male,0.5,36.3,681,1214
desoto,2003 10 18,Male,0.5,27.7,681,1214
desoto,2003 10 18,Female,0.5,23.6,681,1214
desoto,2003 10 18,Female,0.5,23.1,681,1214
desoto,2003 10 18,Male,0.5,24.9,681,1214
desoto,2003 10 18,Female,0.5,14.5,681,1214
desoto,2003 10 18,Male,0.5,28.1,681,1214
desoto,2003 10 18,Male,0.5,29.5,681,1214
desoto,2003 10 18,Female,1.5,49.9,681,1214
desoto,2003 10 18,Female,1.5,48.1,681,1214
desoto,2003 10 18,Female,1.5,43.1,681,1214
desoto,2003 10 18,Female,1.5,53.1,681,1214
desoto,2003 10 18,Female,1.5,48.1,681,1214
desoto,2003 10 18,Female,1.5,41.7,681,1214
desoto,2003 10 18,Female,2.5,49.0,681,1214
desoto,2003 10 18,Female,2.5,55.8,681,1214
desoto,2003 10 18,Female,2.5,40.4,681,1214
desoto,2003 10 18,Female,2.5,43.1,681,1214
desoto,2003 10 18,Female,2.5,39.5,681,1214
desoto,2003 10 18,Female,2.5,37.6,681,1214
desoto,2003 10 18,Female,2.5,45.8,681,1214
desoto,2003 10 18,Female,2.5,44.5,681,1214
desoto,2003 10 18,Female,3.5,57.6,681,1214
desoto,2003 10 18,Female,3.5,54.9,681,1214
