site,year,month,day,fin,blue,ship,wind
H,2006,1,15,NaN,NaN,NaN,NaN
H,2006,1,16,NaN,NaN,NaN,NaN
H,2006,1,17,NaN,NaN,NaN,NaN
H,2006,1,18,NaN,NaN,NaN,NaN
H,2006,1,19,NaN,NaN,NaN,NaN
H,2006,1,20,NaN,NaN,NaN,NaN
H,2006,1,21,NaN,NaN,NaN,NaN
H,2006,1,22,NaN,NaN,NaN,NaN
H,2006,1,23,NaN,NaN,NaN,NaN
H,2006,1,24,NaN,NaN,NaN,NaN
H,2006,1,25,NaN,NaN,NaN,NaN
H,2006,1,26,NaN,NaN,NaN,NaN
H,2006,1,27,NaN,NaN,NaN,NaN
H,2006,1,28,NaN,NaN,NaN,NaN
H,2006,1,29,NaN,NaN,NaN,NaN
H,2006,1,30,NaN,NaN,NaN,NaN
H,2006,1,31,NaN,NaN,NaN,NaN
H,2006,2,1,NaN,NaN,NaN,NaN
H,2006,2,2,NaN,NaN,NaN,NaN
H,2006,2,3,NaN,NaN,NaN,NaN
H,2006,2,4,NaN,NaN,NaN,NaN
H,2006,2,5,NaN,NaN,NaN,NaN
H,2006,2,6,NaN,NaN,NaN,NaN
H,2006,2,7,NaN,NaN,NaN,NaN
H,2006,2,8,NaN,NaN,NaN,NaN
H,2006,2,9,NaN,NaN,NaN,NaN
H,2006,2,10,NaN,NaN,NaN,NaN
H,2006,2,11,NaN,NaN,NaN,NaN
H,2006,2,12,NaN,NaN,NaN,NaN
H,2006,2,13,NaN,NaN,NaN,NaN
H,2006,2,14,NaN,NaN,NaN,NaN
H,2006,2,15,NaN,NaN,NaN,NaN
H,2006,2,16,NaN,NaN,NaN,NaN
H,2006,2,17,NaN,NaN,NaN,NaN
H,2006,2,18,NaN,NaN,NaN,NaN
H,2006,2,19,NaN,NaN,NaN,NaN
H,2006,2,20,NaN,NaN,NaN,NaN
H,2006,2,21,NaN,NaN,NaN,NaN
H,2006,2,22,NaN,NaN,NaN,NaN
H,2006,2,23,NaN,NaN,NaN,NaN
H,2006,2,24,NaN,NaN,NaN,NaN
H,2006,2,25,NaN,NaN,NaN,NaN
H,2006,2,26,NaN,NaN,NaN,NaN
H,2006,2,27,NaN,NaN,NaN,NaN
H,2006,2,28,NaN,NaN,NaN,NaN
H,2006,3,1,NaN,NaN,NaN,NaN
H,2006,3,2,NaN,NaN,NaN,NaN
H,2006,3,3,NaN,NaN,NaN,NaN
H,2006,3,4,NaN,NaN,NaN,NaN
H,2006,3,5,NaN,NaN,NaN,NaN
H,2006,3,6,NaN,NaN,NaN,NaN
H,2006,3,7,NaN,NaN,NaN,NaN
H,2006,3,8,NaN,NaN,NaN,NaN
H,2006,3,9,NaN,NaN,NaN,NaN
H,2006,3,10,NaN,NaN,NaN,NaN
H,2006,3,11,NaN,NaN,NaN,NaN
H,2006,3,12,NaN,NaN,NaN,NaN
H,2006,3,13,NaN,NaN,NaN,NaN
H,2006,3,14,NaN,NaN,NaN,NaN
H,2006,3,15,NaN,NaN,NaN,NaN
H,2006,3,16,NaN,NaN,NaN,NaN
H,2006,3,17,NaN,NaN,NaN,NaN
H,2006,3,18,NaN,NaN,NaN,NaN
H,2006,3,19,NaN,NaN,NaN,NaN
H,2006,3,20,NaN,NaN,NaN,NaN
H,2006,3,21,NaN,NaN,NaN,NaN
H,2006,3,22,NaN,NaN,NaN,NaN
H,2006,3,23,NaN,NaN,NaN,NaN
H,2006,3,24,NaN,NaN,NaN,NaN
H,2006,3,25,NaN,NaN,NaN,NaN
H,2006,3,26,NaN,NaN,NaN,NaN
H,2006,3,27,NaN,NaN,NaN,NaN
H,2006,3,28,NaN,NaN,NaN,NaN
H,2006,3,29,NaN,NaN,NaN,NaN
H,2006,3,30,NaN,NaN,NaN,NaN
H,2006,3,31,NaN,NaN,NaN,NaN
H,2006,4,1,NaN,NaN,NaN,NaN
H,2006,4,2,NaN,NaN,NaN,NaN
H,2006,4,3,NaN,NaN,NaN,NaN
H,2006,4,4,NaN,NaN,NaN,NaN
H,2006,4,5,NaN,NaN,NaN,NaN
H,2006,4,6,NaN,NaN,NaN,NaN
H,2006,4,7,NaN,NaN,NaN,NaN
H,2006,4,8,NaN,NaN,NaN,NaN
H,2006,4,9,NaN,NaN,NaN,NaN
H,2006,4,10,NaN,NaN,NaN,NaN
H,2006,4,11,NaN,NaN,NaN,NaN
H,2006,4,12,NaN,NaN,NaN,NaN
H,2006,4,13,NaN,NaN,NaN,NaN
H,2006,4,14,NaN,NaN,NaN,NaN
H,2006,4,15,NaN,NaN,NaN,NaN
H,2006,4,16,NaN,NaN,NaN,NaN
H,2006,4,17,NaN,NaN,NaN,NaN
H,2006,4,18,NaN,NaN,NaN,NaN
H,2006,4,19,NaN,NaN,NaN,NaN
H,2006,4,20,NaN,NaN,NaN,NaN
H,2006,4,21,NaN,NaN,NaN,NaN
H,2006,4,22,NaN,NaN,NaN,NaN
