"","X","Basin","Site","Loct","Date","Time","UOM","Year","Month","Day","Lat","Long","Huc8","pollute","huc08","huc06","huc04","huc02"
"476497",584150,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","5.5 MI SW OF DELIA","2001-02-21",1025,1.485,2001,2,21,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476498",584240,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","5.5 MI SW OF DELIA","2001-04-25",940,0.196,2001,4,25,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476499",584350,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","5.5 MI SW OF DELIA","2001-06-27",930,0.551,2001,6,27,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476500",584450,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","5.5 MI SW OF DELIA","2001-08-29",925,1.254,2001,8,29,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476501",584540,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","5.5 MI SW OF DELIA","2001-08-29",930,1.111,2001,8,29,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476502",584650,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","5.5 MI SW OF DELIA","2001-10-24",855,0.508,2001,10,24,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476503",584741,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","5.5 MI SW OF DELIA","2001-12-26",935,0.509,2001,12,26,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476504",584840,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","","2005-02-02",930,0.799,2005,2,2,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476505",584940,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","","2005-04-06",935,0.152,2005,4,6,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476506",585050,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","","2005-04-06",940,0.05,2005,4,6,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476507",585140,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","","2005-06-01",929,0.327,2005,6,1,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476508",585231,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","","2005-08-03",925,0.253,2005,8,3,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476509",585324,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","","2005-10-05",923,0.799,2005,10,5,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
"476510",585418,"KANSAS/LOWER REPUBLICAN RIVER BASIN","SC101","","2005-12-07",1020,0.117,2005,12,7,39.20226,-95.874053,10270102,"TKN",10270102,102701,1027,10
