site,year,month,day,fin,blue,ship,wind
N,2009,1,13,84.17,72.55,72.41,54.82
N,2009,1,14,82.04,76.48,76.10,53.35
N,2009,1,15,81.87,79.13,76.77,51.67
N,2009,1,16,81.29,75.85,75.70,52.70
N,2009,1,17,79.76,75.23,73.87,52.49
N,2009,1,18,81.19,76.96,74.13,54.34
N,2009,1,19,81.00,73.81,72.52,50.90
N,2009,1,20,80.97,77.22,75.72,51.97
N,2009,1,21,81.10,77.45,76.38,53.30
N,2009,1,22,83.44,79.65,80.47,55.63
N,2009,1,23,79.33,75.95,74.54,55.28
N,2009,1,24,82.11,80.86,78.36,51.02
N,2009,1,25,83.43,80.75,78.10,62.27
N,2009,1,26,82.25,78.63,76.53,65.22
N,2009,1,27,80.60,73.43,71.00,59.80
N,2009,1,28,80.08,75.72,73.93,59.47
N,2009,1,29,82.01,77.20,75.56,52.77
N,2009,1,30,81.84,78.09,75.63,56.66
N,2009,1,31,80.49,76.45,73.89,55.36
N,2009,2,1,79.82,75.41,73.10,57.70
N,2009,2,2,80.38,74.98,74.85,52.41
N,2009,2,3,81.55,74.05,71.92,52.18
N,2009,2,4,84.91,78.80,76.38,55.02
N,2009,2,5,83.78,78.18,76.92,57.98
N,2009,2,6,82.01,75.39,74.42,60.70
N,2009,2,7,83.61,75.87,75.55,59.14
N,2009,2,8,83.33,73.90,71.24,53.17
N,2009,2,9,80.83,72.72,70.92,62.99
N,2009,2,10,83.54,77.96,76.58,66.47
N,2009,2,11,84.01,80.28,77.85,59.99
N,2009,2,12,84.82,76.42,74.66,63.70
N,2009,2,13,85.07,76.62,76.89,61.62
N,2009,2,14,85.46,80.05,76.71,61.14
N,2009,2,15,NaN,NaN,NaN,NaN
N,2009,2,17,81.96,78.68,76.00,58.08
N,2009,2,18,79.87,78.22,75.56,51.74
N,2009,2,19,82.52,76.45,74.49,55.65
N,2009,2,20,83.29,77.27,75.43,54.52
N,2009,2,21,81.77,77.64,75.95,53.04
N,2009,2,22,84.89,76.71,73.56,49.76
N,2009,2,23,81.38,74.10,73.80,52.16
N,2009,2,24,79.37,78.75,76.35,58.30
N,2009,2,25,80.60,75.11,73.07,58.77
N,2009,2,26,79.89,72.61,71.81,60.18
N,2009,2,27,84.27,80.73,75.99,60.66
N,2009,2,28,82.63,77.46,76.51,53.13
N,2009,3,1,82.92,77.46,75.69,52.45
N,2009,3,2,83.31,74.91,75.52,55.15
N,2009,3,3,80.89,75.05,72.60,55.61
N,2009,3,4,79.36,74.82,75.97,51.77
N,2009,3,5,80.40,77.13,74.82,57.99
N,2009,3,6,81.74,78.43,77.31,61.22
N,2009,3,7,81.88,75.72,73.48,62.20
N,2009,3,8,83.73,78.11,75.53,55.91
N,2009,3,9,86.09,81.88,80.10,53.29
N,2009,3,10,NaN,NaN,NaN,NaN
N,2009,3,11,NaN,NaN,NaN,NaN
N,2009,3,12,NaN,NaN,NaN,NaN
N,2009,3,13,81.53,74.22,72.60,60.56
N,2009,3,14,82.11,76.00,74.84,60.83
N,2009,3,15,81.87,76.20,73.40,60.52
N,2009,3,16,79.82,77.09,77.63,55.92
N,2009,3,17,79.18,77.45,75.41,56.05
N,2009,3,18,81.22,79.08,76.91,52.44
N,2009,3,19,76.88,72.86,70.62,49.48
