degreeProgram,classLevel
Biochemistry,Senior
"Fish, Wlife, Cons & Env Bio",Junior
"Fish, Wlife, Cons & Env Bio",Senior
Biochemistry,Senior
"Fish, Wlife, Cons & Env Bio",Junior
Biochemistry,Senior
Environmental Science,Senior
Food Science And Industry,Senior
"Fish, Wlife, Cons & Env Bio",Junior
Biochemistry,Senior
"Fish, Wlife, Cons & Env Bio",Junior
"Fish, Wlife, Cons & Env Bio",Junior
Biology,Junior
"Fish, Wlife, Cons & Env Bio",Senior
"Fish, Wlife, Cons & Env Bio",Sophomore
"Fish, Wlife, Cons & Env Bio",Senior
"Fish, Wlife, Cons & Env Bio",Junior
Psychology,Senior
Biochemistry,Senior
"Fish, Wlife, Cons & Env Bio",Junior
"Fish, Wlife, Cons & Env Bio",Sophomore
Biochemistry,Junior
"Fish, Wlife, Cons & Env Bio",Senior
"Fish, Wlife, Cons & Env Bio",Junior
Biochemistry,Senior
"Fish, Wlife, Cons & Env Bio",Sophomore
"Fish, Wlife, Cons & Env Bio",Junior
"Fish, Wlife, Cons & Env Bio",Junior
"Fish, Wlife, Cons & Env Bio",Senior
"Fishr, Wlife & Conser Bio",Senior
"Fish, Wlife, Cons & Env Bio",Junior
Biochemistry,Junior
Biochemistry,Senior
Biochemistry,Senior
"Fish, Wlife, Cons & Env Bio",Sophomore
"Fish, Wlife, Cons & Env Bio",Senior
"Fish, Wlife, Cons & Env Bio",Senior
"Fish, Wlife, Cons & Env Bio",Senior
Statistics & Data Sci,Sophomore
"Fish, Wlife, Cons & Env Bio",Junior
"Fish, Wlife, Cons & Env Bio",Junior
"Fish, Wlife, Cons & Env Bio",Junior
"Fish, Wlife, Cons & Env Bio",Junior
"Fish, Wlife, Cons & Env Bio",Senior
Animal Sciences and Industry,Senior
"Fish, Wlife, Cons & Env Bio",Junior
Biochemistry,Junior
Biochemistry,Junior
Biochemistry,Senior
"Fish, Wlife, Cons & Env Bio",Junior
"Fish, Wlife, Cons & Env Bio",Senior
"Fish, Wlife, Cons & Env Bio",Junior
"Fish, Wlife, Cons & Env Bio",Senior
Biology,Sophomore
"Fish, Wlife, Cons & Env Bio",Junior
Biochemistry,Senior
