TRT,GW_Mean,GW_Count,NG_Mean,NG_Count,Chl_A_Mean,Chl_A_Count,Chl_B_Mean,Chl_B_Count,Chl_Tot_Mean,Chl_Tot_Count,Caro_Mean,Caro_Count,Prol_Mean,Prol_Count
FHE0,1.046,9,27.99,9,0.417,9,0.137,9,0.554,9,0.152,9,0.604,9
FHE1,0.75,9,20.646,9,0.428,9,0.194,9,0.629,9,0.183,9,0.985,9
FHE4,0.412,7,16.614,7,0.473,7,0.158,7,0.622,7,0.194,7,0.497,7
FP0,1.02,3,28.571,3,0.401,3,0.124,3,0.523,3,0.19,3,0.526,3
FP1,0.61,5,13.087,5,0.422,5,0.187,5,0.682,5,0.165,5,0.824,5
FP4,0.429,5,16.521,5,0.484,5,0.231,5,0.702,5,0.233,5,0.726,5
FYM0,0.985,5,31.816,5,0.442,5,0.137,5,0.496,5,0.169,5,0.464,5
FYM1,0.537,9,15.072,9,0.44,9,0.205,9,0.62,9,0.16,9,0.898,9
FYM4,0.62,9,12.978,9,0.461,9,0.182,9,0.704,9,0.167,9,0.757,9
RHE0,0.98,2,30.9,2,0.445,2,0.16,2,0.604,2,0.172,2,0.581,2
RHE1,0.74,2,30.25,2,0.444,2,0.193,2,0.77,2,0.206,2,0.88,2
RHE4,0.227,6,9.068,6,0.438,6,0.085,6,0.833,6,0.197,6,0.853,6
RP0,1.11,2,34.583,2,0.422,2,0.162,2,0.585,2,0.161,2,0.483,2
RP1,0.793,3,26.822,3,0.484,3,0.214,3,0.747,3,0.21,3,0.87,3
RP4,0.574,3,21.021,3,0.516,3,0.344,3,0.875,3,0.282,3,0.85,3
RYM0,1.025,2,33.579,2,0.393,2,0.102,2,0.514,2,0.13,2,0.431,2
RYM1,0.32,2,9.695,2,0.489,2,0.23,2,0.651,2,0.272,2,0.705,2
RYM4,0.553,3,9.369,3,0.409,3,0.085,3,0.509,3,0.109,3,0.438,3
SHHE0,0.915,2,27.75,2,0.465,2,0.251,2,0.715,2,0.176,2,0.605,2
SHHE1,0.872,9,23.64,9,0.421,9,0.192,9,0.621,9,0.161,9,0.626,9
SHHE4,0.8,4,15.923,4,0.264,4,0.172,4,0.515,4,0.195,4,0.595,4
SHP0,0.91,2,26.9,2,0.465,2,0.225,2,0.575,2,0.175,2,0.645,2
SHP1,0.72,3,30.852,3,0.399,3,0.214,3,0.608,3,,3,0.676,3
SHP4,0.575,2,12.85,2,0.203,2,0.183,2,0.386,2,0.118,2,0.484,2
SHYM0,0.91,4,28.119,4,0.418,4,0.176,4,0.539,4,0.153,4,0.627,4
SHYM1,0.625,6,15.822,6,0.445,6,0.285,6,0.816,6,0.223,6,0.897,6
SHYM4,0.831,2,19.36,2,0.282,2,0.113,2,0.395,2,0.125,2,0.471,2
